atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,RB,PE,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,
ata,262,83257,30,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,0,20.84,0,9.25,Flamengo,20,8,41,17,20,26,0,26,0,0,0,3,9,13,0,0,0,0,407
ata,262,83257,31,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,3.5,19.91,-0.93,9,Flamengo,23,8,46,18,20,31,0,26,0,0,0,3,9,13,0,0,0,0,260
ata,262,83257,32,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,18.2,22.59,2.68,9.38,Flamengo,24,8,50,18,21,31,0,28,0,0,0,5,9,16,0,0,0,0,340
ata,262,83257,34,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Suspenso,0,20.8,0,9.3,Flamengo,25,8,52,18,22,32,0,31,0,0,0,5,9,16,1,0,0,0,339
ata,262,83257,35,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,0,20.8,0,9.3,Flamengo,25,8,52,18,22,32,0,31,0,0,0,5,9,16,1,0,0,0,252
ata,262,83257,36,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Dúvida,23.6,23.7,2.9,9.85,Flamengo,28,8,53,19,24,32,0,33,0,0,0,6,9,17,1,0,0,0,329
ata,262,83257,37,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,13.8,21.94,-1.76,10,Flamengo,29,8,54,19,25,33,0,37,0,0,0,6,9,17,1,0,0,0,291
ata,262,83257,38,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,-0.8,19.57,-2.37,9.61,Flamengo,30,8,55,21,25,34,0,38,0,0,0,6,10,17,1,0,0,0,388
ata,262,85300,2,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Dúvida,0,6,0,0,Flamengo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628
ata,262,85300,3,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Provável,9.5,7.57,1.57,9.5,Flamengo,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127
