atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,DS,PI,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,,atletas.jogos_num
mei,8,72362,2,Rodrigo Oliveira Lindoso,rodrigo-lindoso,Rodrigo Lindoso,https://s.glbimg.com/es/sde/f/2020/02/27/bc31f941c1bb5d6c26ada24af71bcf45_FORMATO.png,Provável,0.3,3.84,-0.94,0.45,Internacional,0,4,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,421,2
mei,8,83266,1,Marcos Guilherme de Almeida Santos Matos,marcos-guilherme,Marcos Guilherme ,https://s.glbimg.com/es/sde/f/2020/02/27/cface4b2faa10e1c22eb8e5dfb7971ad_FORMATO.png,Provável,1.4,5.36,-0.64,1.4,Internacional,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,393,1
mei,8,83433,1,Patrick Bezerra do Nascimento,patrick,Patrick,https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png,Provável,-1.5,10.51,-5.49,-1.5,Internacional,2,0,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,530,1
mei,8,83433,2,Patrick Bezerra do Nascimento,patrick,Patrick,https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png,Provável,5.1,9.59,-0.92,1.8,Internacional,2,3,19,6,0,1,1,1,0,0,0,0,0,1,0,0,0,0,211,2
mei,8,86841,1,Gabriel Boschilia,boschilia,Boschilia,https://s.glbimg.com/es/sde/f/2020/02/27/dbeea99042dc47fc247d3a724d62602b_FORMATO.png,Dúvida,0.4,5.36,-1.64,0.4,Internacional,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,1
mei,8,86841,2,Gabriel Boschilia,boschilia,Boschilia,https://s.glbimg.com/es/sde/f/2020/02/27/dbeea99042dc47fc247d3a724d62602b_FORMATO.png,Provável,6.7,7.05,1.69,3.55,Internacional,2,6,13,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,649,2
mei,8,100987,2,Gustavo Nonato Santana,nonato,Nonato,https://s.glbimg.com/es/sde/f/2020/02/27/4fc30df934657cce0aecf53ef7dc9a8b_FORMATO.png,Contundido,0,5,0,0,Internacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0
mei,9,81091,1,Jair Rodrigues Júnior,jair,Jair,https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png,Provável,0.9,5.73,-1.27,0.9,Atlético-MG,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,1
mei,9,81091,2,Jair Rodrigues Júnior,jair,Jair,https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png,Provável,5.2,6.81,1.08,3.05,Atlético-MG,5,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,2
mei,9,85931,2,Hyoran Kaue Dalmoro,hyoran,Hyoran,https://s.glbimg.com/es/sde/f/2020/02/28/7b09893ee3434ec5909a9303dca5ff95_FORMATO.png,Dúvida,20.8,14.69,8.38,11.75,Atlético-MG,6,6,7,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,184,2
mei,9,87009,1,Nathan Allan de Souza,nathan,Nathan,https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png,Provável,3.2,7.39,0.39,3.2,Atlético-MG,0,5,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96,1
mei,9,87009,2,Nathan Allan de Souza,nathan,Nathan,https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png,Dúvida,10.2,10.94,3.55,6.7,Atlético-MG,0,6,6,2,1,1,0,1,0,0,0,0,0,2,0,0,0,0,196,2
mei,9,96652,1,Allan Rodrigues de Souza,allan,Allan,https://s.glbimg.com/es/sde/f/2020/02/28/8770cf398ed3dd9915d0b1bbd4d13262_FORMATO.png,Provável,3.1,8.04,0.04,3.1,Atlético-MG,1,5,5,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,113,1
mei,9,96652,2,Allan Rodrigues de Souza,allan,Allan,https://s.glbimg.com/es/sde/f/2020/02/28/8770cf398ed3dd9915d0b1bbd4d13262_FORMATO.png,Provável,1.4,7.48,-0.56,2.25,Atlético-MG,1,7,6,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,212,2
mei,10,37688,2,Cícero Santos,cicero,Cícero,https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png,Contundido,0,7,0,0,Botafogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
mei,10,69940,1,Keisuke Honda,honda,Honda,https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png,Provável,0,6,0,0,Botafogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
mei,10,69940,2,Keisuke Honda,honda,Honda,https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png,Provável,0.7,4.75,-1.25,0.7,Botafogo,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1
mei,10,81776,1,Bruno dos Santos Nazário,bruno-nazario,Bruno Nazário,https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png,Provável,0,8,0,0,Botafogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0
mei,10,81776,2,Bruno dos Santos Nazário,bruno-nazario,Bruno Nazário,https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png,Provável,3.2,7.33,-0.67,3.2,Botafogo,2,3,13,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,247,1
mei,10,106323,1,Caio Alexandre Souza e Silva,caio-alexandre,Caio Alexandre,https://s.glbimg.com/es/sde/f/2020/07/20/29f9587aac296561c6706ec75204ca92_FORMATO.png,Provável,0,5,0,0,Botafogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0
mei,10,106323,2,Caio Alexandre Souza e Silva,caio-alexandre,Caio Alexandre,https://s.glbimg.com/es/sde/f/2020/07/20/29f9587aac296561c6706ec75204ca92_FORMATO.png,Provável,2.4,4.76,-0.24,2.4,Botafogo,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,1
mei,11,38196,1,Maicon Thiago Pereira de Souza,maicon,Maicon,https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png,Provável,-1.2,5.65,-3.35,-1.2,Grêmio,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,1
